,precision,recall,f1-score,support
00000,0.0,0.0,0.0,0
00001,1.0,0.9805555555555555,0.9901823281907434,360
00002,0.9834123222748815,0.9880952380952381,0.9857482185273159,420
00003,0.9876543209876543,1.0,0.9937888198757764,240
00004,1.0,0.99375,0.9968652037617555,480
00005,0.9738562091503268,0.9933333333333333,0.9834983498349835,300
00006,1.0,1.0,1.0,120
00007,0.996309963099631,1.0,0.9981515711645101,270
00008,0.9859154929577465,1.0,0.9929078014184397,210
00009,1.0,0.99,0.9949748743718593,300
00010,1.0,1.0,1.0,450
00011,0.9703703703703703,0.9703703703703703,0.9703703703703703,270
00012,1.0,0.9851851851851852,0.9925373134328358,270
00013,1.0,0.9982456140350877,0.9991220368744512,570
00014,1.0,1.0,1.0,150
00015,1.0,1.0,1.0,120
00016,1.0,1.0,1.0,120
00017,1.0,1.0,1.0,180
00018,0.9848024316109423,0.9818181818181818,0.9833080424886191,330
00019,0.0,0.0,0.0,0
00020,1.0,0.7583333333333333,0.8625592417061612,120
00021,0.8571428571428571,1.0,0.9230769230769231,30
00022,1.0,1.0,1.0,60
00023,1.0,0.8666666666666667,0.9285714285714286,90
00024,0.9183673469387755,1.0,0.9574468085106383,90
00025,0.972972972972973,1.0,0.9863013698630136,360
00026,1.0,0.9222222222222223,0.9595375722543352,90
00027,0.9917355371900827,1.0,0.995850622406639,120
00028,0.956989247311828,0.9888888888888889,0.9726775956284153,90
00029,1.0,0.9333333333333333,0.9655172413793104,30
00030,1.0,0.9666666666666667,0.9830508474576272,150
00031,0.989010989010989,1.0,0.994475138121547,270
00032,1.0,1.0,1.0,30
00033,0.6810344827586207,0.8777777777777778,0.7669902912621359,90
00034,0.7361111111111112,0.5888888888888889,0.654320987654321,90
00035,1.0,1.0,1.0,150
00036,0.6779661016949152,1.0,0.8080808080808081,120
00037,1.0,0.05,0.09523809523809523,60
00038,0.7066929133858267,0.9972222222222222,0.8271889400921659,360
00039,0.5,0.006666666666666667,0.013157894736842105,150
00040,1.0,0.9111111111111111,0.9534883720930233,90
00041,1.0,1.0,1.0,30
00042,1.0,1.0,1.0,30
micro avg,0.9544529262086514,0.9544529262086514,0.9544529262086514,7860
macro avg,0.9039615039527799,0.8778867733993192,0.8727670955452347,7860
weighted avg,0.9572995148296022,0.9544529262086514,0.9457422901401532,7860
